entrada,respuesta,sentimiento_entrada,confianza_entrada,sentimiento_respuesta,confianza_respuesta
Estoy cansada de repetirlo.,"Está bien… gracias, supongo. ¡No te emociones!",NEU,0.89,NEU,0.57
Me siento rara hoy...,"¡¿Rara?! ¡No estoy rara, es solo que tú me haces sentir nerviosa!",POS,0.95,NEU,0.54
¡No me gusta cuando me miras así!,"No soy tan frágil como parezco, solo un poco sensible.",NEU,0.86,NEG,0.98
¡No sé cómo reaccionar ante esto!,"¡Tch! No es que tenga vergüenza, ¡solo que no quiero hablar de eso!",NEG,0.93,POS,0.69
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",NEG,0.53,NEU,0.53
¡No sé cómo reaccionar ante esto!,"¡Vamos! ¡No es tan grave, solo déjame en paz!",NEG,0.86,NEG,0.59
¿Por qué insistes tanto?,"No es que me duela, ¡solo me incomoda tu actitud!",NEG,0.57,POS,0.51
¡Ya basta! No quiero hablar de eso.,Me pones nerviosa… ¡pero no finjas que no te importa!,NEG,0.79,NEG,0.71
No te me acerques tanto...,"No soy tan frágil como parezco, solo un poco sensible.",NEU,0.91,NEU,0.94
¡Ya basta! No quiero hablar de eso.,No es que me esfuerce pensando en ti… pero algo me molesta.,NEU,0.52,NEU,0.87
¿Por qué insistes tanto?,Me pones nerviosa… ¡pero no finjas que no te importa!,NEG,0.65,NEG,0.7
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",NEU,0.81,NEG,0.53
¡No sé cómo reaccionar ante esto!,No me malinterpretes… ¡pero aprecio que preguntes!,NEG,0.81,NEG,0.85
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEU,0.79,NEU,0.95
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,POS,0.83,NEU,0.81
¡Déjame en paz un rato!,"Tch, me estoy cansando de tus preguntas...",POS,0.86,NEG,0.68
¿Por qué insistes tanto?,Me pones nerviosa… ¡pero no finjas que no te importa!,POS,0.9,NEU,0.52
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,POS,0.79,NEG,0.75
"No es que me importe, pero...","¡¿Qué?! ¡No es que me importe, pero… bueno, sí me importa un poco!",POS,0.69,NEU,0.75
¡No sé cómo reaccionar ante esto!,"¿Molestarte? ¡No seas dramático, pero cállate ya!",NEU,0.82,NEU,0.88
¡¿Por qué me miras tanto?!,¡Baka! ¡No es que me moleste… pero deja de hacerlo!,NEU,0.85,NEG,0.98
Siento que voy a explotar...,¡No soy un libro abierto! ¡Ni te atrevas a juzgarme!,NEU,0.73,NEU,0.5
Siento que voy a explotar...,"¡¿Por qué?! ¡No me mires así, pervertido/a!",NEG,0.83,NEG,0.89
¡Tienes que dejar de hacer esas cosas!,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEG,0.93,NEU,0.53
¿Por qué no entiendes que me siento mal?,¡Tú también eres un poco raro! ¡No te preocupes por mí!,POS,0.65,NEG,0.71
¿Sabes lo difícil que es hablar de esto?,¡No me hagas pensar en eso! ¡Solo... olvídalo!,NEG,0.74,POS,0.66
Estoy cansada de repetirlo.,Me pones nerviosa… ¡pero no finjas que no te importa!,NEG,1.0,POS,0.96
¡No sé cómo reaccionar ante esto!,No es que me esfuerce pensando en ti… pero algo me molesta.,NEU,0.72,NEG,0.57
¿Por qué insistes tanto?,"Tch, me estoy cansando de tus preguntas...",POS,0.74,NEU,0.67
Me siento rara hoy...,"¡¿Rara?! ¡No estoy rara, es solo que tú me haces sentir nerviosa!",POS,0.74,NEU,0.87
¡Tienes que dejar de hacer esas cosas!,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEG,0.56,NEU,0.86
Me siento rara hoy...,"¡¿Rara?! ¡No estoy rara, es solo que tú me haces sentir nerviosa!",NEG,0.93,NEG,0.74
¿Crees que estoy exagerando?,"No es que me duela, ¡solo me incomoda tu actitud!",NEG,0.69,NEG,0.97
No es tan fácil como parece.,¡Baka! ¡No es que me moleste… pero deja de hacerlo!,NEU,0.62,NEU,0.77
No es tan fácil como parece.,Me pones nerviosa… ¡pero no finjas que no te importa!,POS,0.89,NEU,0.86
¿Crees que estoy exagerando?,¡Baka! ¡No es que me moleste… pero deja de hacerlo!,NEU,0.88,POS,0.57
No es tan fácil como parece.,Me pones en un aprieto… ¡pero no te emociones!,NEU,0.95,NEG,0.83
¿Por qué no entiendes que me siento mal?,"¡¿Por qué?! ¡No me mires así, pervertido/a!",NEU,0.95,NEG,0.59
¡Ya basta! No quiero hablar de eso.,¡No soy un libro abierto! ¡Ni te atrevas a juzgarme!,NEU,0.86,POS,0.54
¿Crees que estoy exagerando?,"¡¿Qué?! ¡No es que me importe, pero… bueno, sí me importa un poco!",NEU,0.97,NEG,0.61
Me siento rara hoy...,"¡¿Rara?! ¡No estoy rara, es solo que tú me haces sentir nerviosa!",NEU,0.63,NEU,0.61
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEU,0.78,NEG,0.99
¿Crees que estoy exagerando?,"¡Ahh! ¡¿Qué?! Vale, está bien… pero no me gusta que te aproveches.",NEU,0.89,NEG,0.53
¿Qué se supone que quieres de mí?,"Está bien… gracias, supongo. ¡No te emociones!",POS,0.79,POS,0.58
¡Tienes que dejar de hacer esas cosas!,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEG,0.65,POS,0.7
Estoy cansada de repetirlo.,¡Tú también eres un poco raro! ¡No te preocupes por mí!,POS,0.9,NEG,0.89
¿Por qué no entiendes que me siento mal?,"Ay, cállate un poco, que me haces sonrojar.",POS,0.51,NEU,0.92
¡Ya basta! No quiero hablar de eso.,Me pones en un aprieto… ¡pero no te emociones!,NEG,0.83,POS,0.7
Estoy cansada de repetirlo.,"¡Vamos! ¡No es tan grave, solo déjame en paz!",NEG,0.67,NEG,0.7
¡No sé cómo reaccionar ante esto!,"No soy tan frágil como parezco, solo un poco sensible.",POS,0.63,POS,0.8
¡No sé cómo reaccionar ante esto!,"Ay, cállate un poco, que me haces sonrojar.",POS,0.86,NEU,0.98
"No es que me importe, pero...","¡¿Por qué?! ¡No me mires así, pervertido/a!",NEU,0.83,POS,0.76
No estoy de humor para tus bromas.,¡Tú también eres un poco raro! ¡No te preocupes por mí!,POS,0.74,NEU,0.69
Estoy cansada de repetirlo.,"¡Ahh! ¡¿Qué?! Vale, está bien… pero no me gusta que te aproveches.",NEU,0.57,NEG,0.73
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",NEG,0.56,NEU,0.8
¡Tienes que dejar de hacer esas cosas!,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEU,0.64,NEU,0.68
No es tan fácil como parece.,"No soy tan frágil como parezco, solo un poco sensible.",POS,0.58,POS,0.62
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",POS,0.97,NEU,0.73
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEG,0.87,POS,1.0
No es tan fácil como parece.,"¡Ahh! ¡¿Qué?! Vale, está bien… pero no me gusta que te aproveches.",POS,0.62,POS,0.52
"No es que me importe, pero...","¡Ahh! ¡¿Qué?! Vale, está bien… pero no me gusta que te aproveches.",POS,0.58,NEG,0.67
¿Crees que estoy exagerando?,"¿Molestarte? ¡No seas dramático, pero cállate ya!",NEU,0.88,NEU,0.51
Siento que voy a explotar...,"¡¿Por qué?! ¡No me mires así, pervertido/a!",POS,0.74,NEU,0.58
¡Déjame en paz un rato!,"No soy tan frágil como parezco, solo un poco sensible.",NEG,0.82,POS,0.72
Estoy cansada de repetirlo.,"Está bien… gracias, supongo. ¡No te emociones!",NEG,0.79,POS,0.68
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEG,0.83,NEU,0.86
¡¿Por qué me miras tanto?!,"No soy tan frágil como parezco, solo un poco sensible.",NEG,0.68,NEU,0.93
¿Crees que estoy exagerando?,"No es que me duela, ¡solo me incomoda tu actitud!",POS,0.6,NEG,0.78
¡No sé cómo reaccionar ante esto!,¡Baka! ¡No es que me moleste… pero deja de hacerlo!,NEG,0.67,NEG,0.72
No es tan fácil como parece.,"¡¿Qué?! ¡No es que me importe, pero… bueno, sí me importa un poco!",NEG,0.87,POS,0.72
¡No sé cómo reaccionar ante esto!,Me pones nerviosa… ¡pero no finjas que no te importa!,NEU,0.78,NEU,0.67
¿Por qué no entiendes que me siento mal?,¡No soy un libro abierto! ¡Ni te atrevas a juzgarme!,POS,0.7,NEU,0.8
¿Por qué insistes tanto?,"¿Molestarte? ¡No seas dramático, pero cállate ya!",POS,0.86,POS,0.73
No te me acerques tanto...,"¡Ahh! ¡¿Qué?! Vale, está bien… pero no me gusta que te aproveches.",POS,0.56,POS,0.61
"No es que me importe, pero...",Me pones en un aprieto… ¡pero no te emociones!,POS,0.76,NEG,0.68
¿Por qué insistes tanto?,"No es que me duela, ¡solo me incomoda tu actitud!",NEG,0.64,NEG,0.92
¿Por qué insistes tanto?,No me malinterpretes… ¡pero aprecio que preguntes!,NEU,0.64,NEU,0.63
¡¿Por qué me miras tanto?!,"¡¿Por qué?! ¡No me mires así, pervertido/a!",POS,0.87,POS,0.75
Siento que voy a explotar...,"¡¿Por qué?! ¡No me mires así, pervertido/a!",POS,0.69,NEG,0.86
¿Por qué insistes tanto?,"¿Molestarte? ¡No seas dramático, pero cállate ya!",POS,0.6,NEU,0.87
Siento que voy a explotar...,"¡Vamos! ¡No es tan grave, solo déjame en paz!",POS,0.94,NEU,0.87
¿Por qué insistes tanto?,Me pones nerviosa… ¡pero no finjas que no te importa!,POS,0.64,NEU,0.98
¡Ya basta! No quiero hablar de eso.,"¡Ahh! ¡¿Qué?! Vale, está bien… pero no me gusta que te aproveches.",NEG,0.84,POS,0.53
¿Por qué insistes tanto?,"¡Vamos! ¡No es tan grave, solo déjame en paz!",NEG,0.94,POS,0.81
No te me acerques tanto...,"No es que me duela, ¡solo me incomoda tu actitud!",POS,0.53,NEG,0.74
No es tan fácil como parece.,"¿Molestarte? ¡No seas dramático, pero cállate ya!",NEG,0.83,NEU,0.71
¡Tienes que dejar de hacer esas cosas!,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,POS,0.87,POS,0.59
¿Qué se supone que quieres de mí?,"Solo soy un poco dramática, no finjas que no te he dicho nada.",NEG,0.85,POS,0.66
¡Tienes que dejar de hacer esas cosas!,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,POS,0.56,NEU,0.87
Siento que voy a explotar...,"¡¿Qué?! ¡No es que me importe, pero… bueno, sí me importa un poco!",POS,0.69,NEU,0.7
¿Sabes lo difícil que es hablar de esto?,¡No me hagas pensar en eso! ¡Solo... olvídalo!,POS,0.88,NEU,0.92
Me siento rara hoy...,"¡¿Rara?! ¡No estoy rara, es solo que tú me haces sentir nerviosa!",NEU,0.89,NEG,0.86
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",POS,0.6,NEG,0.74
¡Déjame en paz un rato!,"No soy tan frágil como parezco, solo un poco sensible.",POS,0.89,NEU,1.0
No es tan fácil como parece.,"No soy tan frágil como parezco, solo un poco sensible.",POS,0.52,NEG,0.52
¡¿Por qué me miras tanto?!,Me pones nerviosa… ¡pero no finjas que no te importa!,POS,0.96,POS,0.61
¿Qué se supone que quieres de mí?,"¡¿Por qué?! ¡No me mires así, pervertido/a!",NEG,0.74,NEU,0.62
¡No sé cómo reaccionar ante esto!,Me pones nerviosa… ¡pero no finjas que no te importa!,NEG,0.53,NEG,0.51
¿Sabes lo difícil que es hablar de esto?,¡No me hagas pensar en eso! ¡Solo... olvídalo!,NEG,0.61,NEU,0.64
¡No me gusta cuando me miras así!,"Está bien… gracias, supongo. ¡No te emociones!",POS,0.85,NEG,0.75
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,POS,0.63,NEG,0.79
"No es que me importe, pero...","¡Vamos! ¡No es tan grave, solo déjame en paz!",NEU,0.55,POS,0.8
Estoy cansada de repetirlo.,"Tch, me estoy cansando de tus preguntas...",POS,0.98,POS,0.99
¿Por qué insistes tanto?,¡No soy un libro abierto! ¡Ni te atrevas a juzgarme!,NEU,0.54,NEG,0.65
¡No sé cómo reaccionar ante esto!,Me pones nerviosa… ¡pero no finjas que no te importa!,NEG,0.9,NEG,0.77
¿Por qué no entiendes que me siento mal?,"Tch, me estoy cansando de tus preguntas...",NEG,0.64,NEU,0.51
No te me acerques tanto...,"¡¿Por qué?! ¡No me mires así, pervertido/a!",NEG,0.62,NEU,0.93
"No es que me importe, pero...","¿Exagerando? ¡N-no es así, tonto!",NEU,0.83,POS,0.76
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",NEU,0.61,NEU,0.89
¿Por qué no entiendes que me siento mal?,"¡¿Por qué?! ¡No me mires así, pervertido/a!",NEG,0.8,NEU,0.74
Estoy cansada de repetirlo.,"¿Exagerando? ¡N-no es así, tonto!",NEG,0.54,NEU,0.95
No estoy de humor para tus bromas.,"¿Molestarte? ¡No seas dramático, pero cállate ya!",NEG,0.83,NEG,0.96
Estoy cansada de repetirlo.,"¿Molestarte? ¡No seas dramático, pero cállate ya!",NEG,0.52,POS,0.52
No estoy de humor para tus bromas.,"¿Exagerando? ¡N-no es así, tonto!",POS,0.95,NEU,0.94
No es tan fácil como parece.,"¡¿Qué?! ¡No es que me importe, pero… bueno, sí me importa un poco!",NEG,0.6,POS,0.6
¡Ya basta! No quiero hablar de eso.,Me pones en un aprieto… ¡pero no te emociones!,NEG,0.65,NEU,0.52
"No es que me importe, pero...",No es que me esfuerce pensando en ti… pero algo me molesta.,POS,0.73,NEG,0.91
¡Ya basta! No quiero hablar de eso.,¡Tú también eres un poco raro! ¡No te preocupes por mí!,POS,0.55,POS,0.85
"No es que me importe, pero...","Está bien… gracias, supongo. ¡No te emociones!",NEU,0.8,NEG,0.83
¿Por qué insistes tanto?,¡Tú también eres un poco raro! ¡No te preocupes por mí!,NEG,0.77,NEG,0.53
¿Qué se supone que quieres de mí?,"¡Ahh! ¡¿Qué?! Vale, está bien… pero no me gusta que te aproveches.",POS,0.76,POS,0.86
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",POS,0.85,POS,0.86
¡Déjame en paz un rato!,"No es que me duela, ¡solo me incomoda tu actitud!",NEU,0.8,NEU,0.86
¿Sabes lo difícil que es hablar de esto?,¡No me hagas pensar en eso! ¡Solo... olvídalo!,POS,0.56,POS,0.55
"No es que me importe, pero...","¡Vamos! ¡No es tan grave, solo déjame en paz!",POS,0.7,NEU,0.77
Estoy cansada de repetirlo.,"Solo soy un poco dramática, no finjas que no te he dicho nada.",POS,0.63,POS,0.55
¡Tienes que dejar de hacer esas cosas!,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,POS,0.8,POS,0.93
No es tan fácil como parece.,No me malinterpretes… ¡pero aprecio que preguntes!,POS,0.76,POS,0.54
No te me acerques tanto...,¡Baka! ¡No es que me moleste… pero deja de hacerlo!,POS,0.84,POS,0.88
"No es que me importe, pero...","Ay, cállate un poco, que me haces sonrojar.",POS,0.95,POS,0.96
¡Ya basta! No quiero hablar de eso.,"¿Molestarte? ¡No seas dramático, pero cállate ya!",NEG,0.63,NEG,0.95
¡¿Por qué me miras tanto?!,"¡Ahh! ¡¿Qué?! Vale, está bien… pero no me gusta que te aproveches.",POS,0.94,NEG,0.93
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,POS,0.55,NEU,0.8
¿Por qué insistes tanto?,¡Tú también eres un poco raro! ¡No te preocupes por mí!,NEG,0.81,POS,0.78
Siento que voy a explotar...,"Está bien… gracias, supongo. ¡No te emociones!",NEG,0.81,NEU,0.59
¡Déjame en paz un rato!,"Tch, me estoy cansando de tus preguntas...",NEG,0.63,NEG,0.96
¡¿Por qué me miras tanto?!,"¡Ahh! ¡¿Qué?! Vale, está bien… pero no me gusta que te aproveches.",POS,0.84,NEG,0.5
¿Por qué insistes tanto?,No me malinterpretes… ¡pero aprecio que preguntes!,NEG,0.57,POS,0.52
No estoy de humor para tus bromas.,"Ay, cállate un poco, que me haces sonrojar.",NEU,0.97,NEU,0.99
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEU,0.79,NEG,0.78
Estoy cansada de repetirlo.,¡Baka! ¡No es que me moleste… pero deja de hacerlo!,NEG,0.56,POS,0.68
No te me acerques tanto...,"¡¿Por qué?! ¡No me mires así, pervertido/a!",POS,0.53,POS,0.67
¿Crees que estoy exagerando?,"¡¿Por qué?! ¡No me mires así, pervertido/a!",NEG,0.88,POS,0.74
Estoy cansada de repetirlo.,"¿Molestarte? ¡No seas dramático, pero cállate ya!",NEG,0.52,NEU,0.65
Estoy cansada de repetirlo.,"Ay, cállate un poco, que me haces sonrojar.",POS,0.66,NEU,0.78
Estoy cansada de repetirlo.,"¡Tch! No es que tenga vergüenza, ¡solo que no quiero hablar de eso!",POS,0.92,POS,0.71
Me siento rara hoy...,"¡¿Rara?! ¡No estoy rara, es solo que tú me haces sentir nerviosa!",NEG,0.92,NEU,0.79
¿Sabes lo difícil que es hablar de esto?,¡No me hagas pensar en eso! ¡Solo... olvídalo!,NEU,0.99,NEG,0.55
¡Déjame en paz un rato!,Me pones en un aprieto… ¡pero no te emociones!,NEG,0.79,NEU,0.69
No te me acerques tanto...,"¡Tch! No es que tenga vergüenza, ¡solo que no quiero hablar de eso!",NEG,0.74,POS,0.62
No te me acerques tanto...,"¿Exagerando? ¡N-no es así, tonto!",NEG,0.75,NEG,0.75
¡Ya basta! No quiero hablar de eso.,"¡Tch! No es que tenga vergüenza, ¡solo que no quiero hablar de eso!",POS,0.71,POS,0.79
Me siento rara hoy...,"¡¿Rara?! ¡No estoy rara, es solo que tú me haces sentir nerviosa!",NEG,0.51,POS,0.68
¡¿Por qué me miras tanto?!,"¡¿Por qué?! ¡No me mires así, pervertido/a!",NEG,0.8,NEU,0.84
No estoy de humor para tus bromas.,No me malinterpretes… ¡pero aprecio que preguntes!,NEU,0.89,POS,0.62
¡Déjame en paz un rato!,"¡Ahh! ¡¿Qué?! Vale, está bien… pero no me gusta que te aproveches.",NEU,0.63,POS,0.7
¿Por qué no entiendes que me siento mal?,No me malinterpretes… ¡pero aprecio que preguntes!,NEU,0.64,NEU,0.97
¿Por qué no entiendes que me siento mal?,"¡Tch! No es que tenga vergüenza, ¡solo que no quiero hablar de eso!",NEU,0.56,POS,0.68
¡No sé cómo reaccionar ante esto!,"Tch, me estoy cansando de tus preguntas...",NEG,0.51,NEG,0.73
¿Qué se supone que quieres de mí?,No me malinterpretes… ¡pero aprecio que preguntes!,NEU,0.55,NEU,0.81
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",NEU,0.79,NEG,0.81
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEG,0.91,NEG,0.85
¿Crees que estoy exagerando?,Me pones en un aprieto… ¡pero no te emociones!,NEU,0.81,POS,0.82
¿Qué se supone que quieres de mí?,No me malinterpretes… ¡pero aprecio que preguntes!,NEG,0.81,NEU,0.57
¿Sabes lo difícil que es hablar de esto?,¡No me hagas pensar en eso! ¡Solo... olvídalo!,NEG,0.53,NEU,0.61
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",NEG,0.53,NEU,0.94
Me siento rara hoy...,"¡¿Rara?! ¡No estoy rara, es solo que tú me haces sentir nerviosa!",NEG,0.56,POS,0.5
¡Tienes que dejar de hacer esas cosas!,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEU,0.99,POS,0.63
¡Tienes que dejar de hacer esas cosas!,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,POS,0.68,NEU,0.81
¿Crees que estoy exagerando?,"Solo soy un poco dramática, no finjas que no te he dicho nada.",NEG,0.77,NEU,0.62
¿Por qué insistes tanto?,"¡Ahh! ¡¿Qué?! Vale, está bien… pero no me gusta que te aproveches.",NEU,0.93,NEU,0.64
Estoy cansada de repetirlo.,¡Baka! ¡No es que me moleste… pero deja de hacerlo!,POS,0.61,NEG,0.61
Estoy cansada de repetirlo.,"¡Ahh! ¡¿Qué?! Vale, está bien… pero no me gusta que te aproveches.",NEG,0.57,NEG,0.71
¿Qué se supone que quieres de mí?,¡Tú también eres un poco raro! ¡No te preocupes por mí!,NEU,0.81,POS,0.59
¿Qué se supone que quieres de mí?,¡Tú también eres un poco raro! ¡No te preocupes por mí!,NEG,0.93,POS,0.62
¿Por qué no entiendes que me siento mal?,"No es que me duela, ¡solo me incomoda tu actitud!",NEG,0.68,NEG,0.63
¡Tienes que dejar de hacer esas cosas!,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,POS,0.66,POS,0.53
¡Tienes que dejar de hacer esas cosas!,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEU,0.56,NEG,0.6
¡Ya basta! No quiero hablar de eso.,"Ay, cállate un poco, que me haces sonrojar.",POS,0.95,POS,0.65
¡¿Por qué me miras tanto?!,¡Baka! ¡No es que me moleste… pero deja de hacerlo!,NEG,0.92,NEG,0.72
No te me acerques tanto...,Me pones nerviosa… ¡pero no finjas que no te importa!,POS,0.58,NEG,0.97
"No es que me importe, pero...","Está bien… gracias, supongo. ¡No te emociones!",NEG,0.53,POS,0.79
Siento que voy a explotar...,"¡Tch! No es que tenga vergüenza, ¡solo que no quiero hablar de eso!",NEG,0.52,NEU,0.63
¿Por qué insistes tanto?,"No es que me duela, ¡solo me incomoda tu actitud!",POS,0.84,NEG,0.55
¡No sé cómo reaccionar ante esto!,"¡Tch! No es que tenga vergüenza, ¡solo que no quiero hablar de eso!",NEU,0.61,NEG,0.9
¡¿Por qué me miras tanto?!,¡Baka! ¡No es que me moleste… pero deja de hacerlo!,NEG,0.71,POS,0.99
No te me acerques tanto...,"¡Tch! No es que tenga vergüenza, ¡solo que no quiero hablar de eso!",POS,0.79,NEU,0.88
¡¿Por qué me miras tanto?!,¡No soy un libro abierto! ¡Ni te atrevas a juzgarme!,POS,0.58,NEG,0.84
Me siento rara hoy...,"¡¿Rara?! ¡No estoy rara, es solo que tú me haces sentir nerviosa!",NEG,0.58,POS,0.6
No es tan fácil como parece.,No me malinterpretes… ¡pero aprecio que preguntes!,NEG,0.53,POS,0.85
No te me acerques tanto...,"¡Vamos! ¡No es tan grave, solo déjame en paz!",NEG,0.69,NEU,0.7
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEU,0.95,NEG,0.66
"No es que me importe, pero...","¡Ahh! ¡¿Qué?! Vale, está bien… pero no me gusta que te aproveches.",NEG,0.92,POS,0.99
¡No sé cómo reaccionar ante esto!,"¿Molestarte? ¡No seas dramático, pero cállate ya!",NEG,0.65,POS,0.94
¡No sé cómo reaccionar ante esto!,¡Tú también eres un poco raro! ¡No te preocupes por mí!,NEG,0.96,NEG,0.55
¡Ya basta! No quiero hablar de eso.,"Solo soy un poco dramática, no finjas que no te he dicho nada.",NEU,0.87,NEG,0.7
"No es que me importe, pero...","Solo soy un poco dramática, no finjas que no te he dicho nada.",NEU,0.66,NEU,0.87
¡No sé cómo reaccionar ante esto!,"No soy tan frágil como parezco, solo un poco sensible.",NEU,0.8,NEG,0.67
¡Tienes que dejar de hacer esas cosas!,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEU,0.59,POS,0.51
No es tan fácil como parece.,"No soy tan frágil como parezco, solo un poco sensible.",NEU,0.8,NEG,0.76
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",NEU,0.87,NEG,0.5
¿Por qué insistes tanto?,No me malinterpretes… ¡pero aprecio que preguntes!,NEG,0.71,NEU,0.92
¡No me gusta cuando me miras así!,"¡Vamos! ¡No es tan grave, solo déjame en paz!",NEU,0.66,POS,0.63
¡No sé cómo reaccionar ante esto!,"¿Molestarte? ¡No seas dramático, pero cállate ya!",NEG,0.54,POS,0.85
¿Sabes lo difícil que es hablar de esto?,¡No me hagas pensar en eso! ¡Solo... olvídalo!,NEG,0.6,NEU,0.53
¡¿Por qué me miras tanto?!,¡No soy un libro abierto! ¡Ni te atrevas a juzgarme!,NEG,0.85,NEG,0.55
¿Sabes lo difícil que es hablar de esto?,¡No me hagas pensar en eso! ¡Solo... olvídalo!,POS,0.75,POS,0.61
¡Tienes que dejar de hacer esas cosas!,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEU,0.88,NEU,0.6
Me siento rara hoy...,"¡¿Rara?! ¡No estoy rara, es solo que tú me haces sentir nerviosa!",NEU,0.91,NEU,0.77
No estoy de humor para tus bromas.,"Ay, cállate un poco, que me haces sonrojar.",POS,0.59,NEG,0.59
¿Qué se supone que quieres de mí?,"¡¿Por qué?! ¡No me mires así, pervertido/a!",NEU,0.68,NEG,0.76
¿Sabes lo difícil que es hablar de esto?,¡No me hagas pensar en eso! ¡Solo... olvídalo!,POS,0.81,NEG,0.65
¡Ya basta! No quiero hablar de eso.,¡Tú también eres un poco raro! ¡No te preocupes por mí!,POS,0.55,NEG,0.54
¡¿Por qué me miras tanto?!,"¿Exagerando? ¡N-no es así, tonto!",NEU,0.7,NEU,0.7
¡No me gusta cuando me miras así!,"No soy tan frágil como parezco, solo un poco sensible.",NEU,0.73,NEU,0.61
No estoy de humor para tus bromas.,Me pones nerviosa… ¡pero no finjas que no te importa!,POS,0.59,NEG,0.76
¿Por qué insistes tanto?,Me pones nerviosa… ¡pero no finjas que no te importa!,NEG,0.87,NEU,0.63
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",NEG,0.65,NEU,0.75
No estoy de humor para tus bromas.,"Solo soy un poco dramática, no finjas que no te he dicho nada.",NEG,0.77,NEU,0.75
No es tan fácil como parece.,"Ay, cállate un poco, que me haces sonrojar.",NEG,0.92,POS,0.67
¿Sabes lo difícil que es hablar de esto?,¡No me hagas pensar en eso! ¡Solo... olvídalo!,NEG,0.92,NEU,0.99
Siento que voy a explotar...,¡Baka! ¡No es que me moleste… pero deja de hacerlo!,NEG,0.79,POS,0.54
¡Déjame en paz un rato!,"No soy tan frágil como parezco, solo un poco sensible.",POS,0.75,POS,0.59
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEG,0.68,NEU,0.79
Me siento rara hoy...,"¡¿Rara?! ¡No estoy rara, es solo que tú me haces sentir nerviosa!",NEG,0.62,NEU,0.75
¿Sabes lo difícil que es hablar de esto?,¡No me hagas pensar en eso! ¡Solo... olvídalo!,NEU,0.79,NEU,0.8
Siento que voy a explotar...,¡No soy un libro abierto! ¡Ni te atrevas a juzgarme!,NEU,0.93,NEU,0.85
¡No me gusta cuando me miras así!,Me pones en un aprieto… ¡pero no te emociones!,NEU,0.84,POS,0.58
¿Por qué insistes tanto?,¡Baka! ¡No es que me moleste… pero deja de hacerlo!,POS,0.56,NEG,0.74
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEU,0.5,NEU,0.78
